ranking,customer_name,propensity_score,faixa_propensao,percentil_score,recencia_dias,frequencia_pedidos,valor_total_gasto,ticket_medio,data_ultima_compra,segment,market
49,Justin Deggeller,0.6706,Média Propensão (Foco em Nutrição),10,0,34,23618.0,694.65,2014-12-31,Corporate,US
50,Kalyca Meade,0.6665,Média Propensão (Foco em Nutrição),10,0,21,8643.0,411.57,2014-12-31,Corporate,US
51,Skye Norling,0.666,Média Propensão (Foco em Nutrição),10,13,31,14225.0,458.87,2014-12-18,Home Office,US
52,Bobby Odegard,0.6658,Média Propensão (Foco em Nutrição),10,1,29,15029.0,518.24,2014-12-30,Consumer,EU
53,Tom Prescott,0.6657,Média Propensão (Foco em Nutrição),10,48,26,12874.0,495.15,2014-11-13,Consumer,APAC
54,Paul Knutson,0.6652,Média Propensão (Foco em Nutrição),10,98,20,8232.0,411.6,2014-09-24,Home Office,LATAM
55,Craig Molinari,0.6644,Média Propensão (Foco em Nutrição),10,41,26,11230.0,431.92,2014-11-20,Corporate,US
56,Michelle Tran,0.6632,Média Propensão (Foco em Nutrição),10,127,31,17779.0,573.52,2014-08-26,Home Office,APAC
57,Rob Haberlin,0.6632,Média Propensão (Foco em Nutrição),10,6,29,7970.0,274.83,2014-12-25,Consumer,EU
58,Jesus Ocampo,0.663,Média Propensão (Foco em Nutrição),10,12,28,8209.0,293.18,2014-12-19,Home Office,APAC
59,Sean Miller,0.6619,Média Propensão (Foco em Nutrição),10,21,28,35170.0,1256.07,2014-12-10,Home Office,US
60,Christopher Schild,0.6611,Média Propensão (Foco em Nutrição),10,1,28,12516.0,447.0,2014-12-30,Home Office,US
61,Shaun Chance,0.6604,Média Propensão (Foco em Nutrição),10,9,29,9610.0,331.38,2014-12-22,Corporate,LATAM
62,Helen Abelman,0.6595,Média Propensão (Foco em Nutrição),10,13,28,16930.0,604.64,2014-12-18,Consumer,APAC
63,Denise Monton,0.659,Média Propensão (Foco em Nutrição),10,2,33,22051.0,668.21,2014-12-29,Corporate,EU
64,Theresa Swint,0.6581,Média Propensão (Foco em Nutrição),10,8,27,7936.0,293.93,2014-12-23,Corporate,US
65,Barry Franz,0.6557,Média Propensão (Foco em Nutrição),10,8,27,24082.0,891.93,2014-12-23,Home Office,APAC
66,Thais Sissman,0.6547,Média Propensão (Foco em Nutrição),10,41,27,6787.0,251.37,2014-11-20,Consumer,LATAM
67,Sung Pak,0.6519,Média Propensão (Foco em Nutrição),10,54,28,13496.0,482.0,2014-11-07,Corporate,US
68,Stuart Calhoun,0.6517,Média Propensão (Foco em Nutrição),10,30,26,11409.0,438.81,2014-12-01,Consumer,EU
69,Christy Brittain,0.6517,Média Propensão (Foco em Nutrição),10,26,27,13938.0,516.22,2014-12-05,Consumer,LATAM
70,Sally Knutson,0.6497,Média Propensão (Foco em Nutrição),10,8,26,13292.0,511.23,2014-12-23,Consumer,LATAM
71,Jill Stevenson,0.6483,Média Propensão (Foco em Nutrição),10,5,24,10142.0,422.58,2014-12-26,Corporate,APAC
72,Daniel Lacy,0.6465,Média Propensão (Foco em Nutrição),10,37,28,12201.0,435.75,2014-11-24,Consumer,LATAM
73,Jeremy Lonsdale,0.6447,Média Propensão (Foco em Nutrição),10,30,25,11362.0,454.48,2014-12-01,Consumer,US
74,Jocasta Rupert,0.6446,Média Propensão (Foco em Nutrição),10,7,24,11242.0,468.42,2014-12-24,Consumer,APAC
75,Greg Maxwell,0.6434,Média Propensão (Foco em Nutrição),10,47,26,15355.0,590.58,2014-11-14,Corporate,APAC
76,Janet Lee,0.6418,Média Propensão (Foco em Nutrição),10,1,28,20479.0,731.39,2014-12-30,Consumer,APAC
77,Stefanie Holloman,0.6415,Média Propensão (Foco em Nutrição),10,30,29,14205.0,489.83,2014-12-01,Corporate,LATAM
78,Roy Skaria,0.6409,Média Propensão (Foco em Nutrição),10,19,28,8121.0,290.04,2014-12-12,Home Office,LATAM
79,John Dryer,0.6405,Média Propensão (Foco em Nutrição),10,15,29,11591.0,399.69,2014-12-16,Consumer,APAC
80,Nick Crebassa,0.6402,Média Propensão (Foco em Nutrição),10,6,29,12302.0,424.21,2014-12-25,Corporate,US
81,Jas O'Carroll,0.6381,Média Propensão (Foco em Nutrição),9,14,25,8819.0,352.76,2014-12-17,Consumer,LATAM
82,Fred Harton,0.6361,Média Propensão (Foco em Nutrição),9,1,23,10766.0,468.09,2014-12-30,Consumer,US
83,Valerie Mitchum,0.6338,Média Propensão (Foco em Nutrição),9,13,38,14567.0,383.34,2014-12-18,Home Office,LATAM
84,Don Miller,0.6334,Média Propensão (Foco em Nutrição),9,35,25,11836.0,473.44,2014-11-26,Corporate,LATAM
85,Bart Folk,0.6322,Média Propensão (Foco em Nutrição),9,25,27,13942.0,516.37,2014-12-06,Consumer,APAC
86,Hilary Holden,0.6319,Média Propensão (Foco em Nutrição),9,54,27,15229.0,564.04,2014-11-07,Corporate,APAC
87,Emily Burns,0.6316,Média Propensão (Foco em Nutrição),9,15,24,7037.0,293.21,2014-12-16,Consumer,US
88,Pauline Johnson,0.6295,Média Propensão (Foco em Nutrição),9,19,30,15845.0,528.17,2014-12-12,Consumer,LATAM
89,Craig Carroll,0.6292,Média Propensão (Foco em Nutrição),9,54,25,16815.0,672.6,2014-11-07,Consumer,EU
90,Victoria Brennan,0.6289,Média Propensão (Foco em Nutrição),9,4,25,10745.0,429.8,2014-12-27,Corporate,APAC
91,Pauline Chand,0.6277,Média Propensão (Foco em Nutrição),9,21,22,10633.0,483.32,2014-12-10,Home Office,APAC
92,Dorothy Badders,0.6265,Média Propensão (Foco em Nutrição),9,5,25,10384.0,415.36,2014-12-26,Corporate,US
93,Lindsay Castell,0.6255,Média Propensão (Foco em Nutrição),9,2,30,14301.0,476.7,2014-12-29,Home Office,EU
94,Philip Brown,0.6255,Média Propensão (Foco em Nutrição),9,5,43,11386.0,264.79,2014-12-26,Consumer,LATAM
95,Greg Matthias,0.6244,Média Propensão (Foco em Nutrição),9,1,37,13600.0,367.57,2014-12-30,Consumer,APAC
96,Darrin Van Huff,0.6243,Média Propensão (Foco em Nutrição),9,19,37,22749.0,614.84,2014-12-12,Corporate,EMEA
97,Randy Ferguson,0.6223,Média Propensão (Foco em Nutrição),9,6,32,16598.0,518.69,2014-12-25,Corporate,US
98,Pamela Coakley,0.6222,Média Propensão (Foco em Nutrição),9,2,26,11940.0,459.23,2014-12-29,Corporate,APAC
99,Bradley Nguyen,0.6219,Média Propensão (Foco em Nutrição),9,9,31,12878.0,415.42,2014-12-22,Consumer,US
100,Eleni McCrary,0.6218,Média Propensão (Foco em Nutrição),9,58,29,14584.0,502.9,2014-11-03,Corporate,LATAM
101,Brian Thompson,0.6206,Média Propensão (Foco em Nutrição),9,18,26,14896.0,572.92,2014-12-13,Consumer,US
102,Carlos Soltero,0.6205,Média Propensão (Foco em Nutrição),9,25,36,14936.0,414.89,2014-12-06,Consumer,US
103,Michael Granlund,0.6177,Média Propensão (Foco em Nutrição),9,5,30,13185.0,439.5,2014-12-26,Home Office,EU
104,Sung Shariari,0.6171,Média Propensão (Foco em Nutrição),9,14,25,5331.0,213.24,2014-12-17,Consumer,US
105,Liz MacKendrick,0.6171,Média Propensão (Foco em Nutrição),9,7,22,15531.0,705.95,2014-12-24,Consumer,APAC
106,Sarah Bern,0.6169,Média Propensão (Foco em Nutrição),9,2,20,14603.0,730.15,2014-12-29,Consumer,APAC
107,John Lucas,0.6164,Média Propensão (Foco em Nutrição),9,44,26,10503.0,403.96,2014-11-17,Consumer,US
108,Liz Willingham,0.6162,Média Propensão (Foco em Nutrição),9,33,25,8045.0,321.8,2014-11-28,Consumer,EU
109,Christopher Martinez,0.616,Média Propensão (Foco em Nutrição),9,37,29,22460.0,774.48,2014-11-24,Consumer,APAC
110,Lisa Hazard,0.6159,Média Propensão (Foco em Nutrição),9,41,21,9164.0,436.38,2014-11-20,Consumer,LATAM
111,Luke Schmidt,0.6153,Média Propensão (Foco em Nutrição),9,15,28,15599.0,557.11,2014-12-16,Corporate,APAC
112,Carl Weiss,0.6144,Média Propensão (Foco em Nutrição),9,8,29,14357.0,495.07,2014-12-23,Home Office,EU
113,Bryan Spruell,0.614,Média Propensão (Foco em Nutrição),9,9,30,17253.0,575.1,2014-12-22,Home Office,EU
114,Darren Budd,0.6127,Média Propensão (Foco em Nutrição),9,57,15,9681.0,645.4,2014-11-04,Corporate,US
115,Brenda Bowman,0.6122,Média Propensão (Foco em Nutrição),9,28,31,16007.0,516.35,2014-12-03,Corporate,EU
116,Guy Phonely,0.6119,Média Propensão (Foco em Nutrição),9,1,33,15403.0,466.76,2014-12-30,Corporate,EMEA
117,Chris Selesnick,0.6119,Média Propensão (Foco em Nutrição),9,2,34,14418.0,424.06,2014-12-29,Corporate,US
118,Brendan Dodson,0.6116,Média Propensão (Foco em Nutrição),9,7,24,10920.0,455.0,2014-12-24,Home Office,EU
119,Larry Tron,0.6113,Média Propensão (Foco em Nutrição),9,6,34,18619.0,547.62,2014-12-25,Consumer,LATAM
120,John Stevenson,0.6101,Média Propensão (Foco em Nutrição),9,11,26,12189.0,468.81,2014-12-20,Consumer,APAC
121,Dianna Vittorini,0.6078,Média Propensão (Foco em Nutrição),9,13,25,16951.0,678.04,2014-12-18,Consumer,LATAM
122,Maureen Gastineau,0.6074,Média Propensão (Foco em Nutrição),9,36,37,20363.0,550.35,2014-11-25,Home Office,APAC
123,Gene Hale,0.6035,Média Propensão (Foco em Nutrição),9,51,25,15488.0,619.52,2014-11-10,Corporate,EU
124,Alan Haines,0.6031,Média Propensão (Foco em Nutrição),9,49,34,15281.0,449.44,2014-11-12,Corporate,LATAM
125,Christine Abelman,0.6023,Média Propensão (Foco em Nutrição),9,13,26,7803.0,300.12,2014-12-18,Corporate,US
126,Duane Benoit,0.6006,Média Propensão (Foco em Nutrição),9,12,23,13604.0,591.48,2014-12-19,Consumer,APAC
127,Matt Connell,0.6003,Média Propensão (Foco em Nutrição),9,49,28,13230.0,472.5,2014-11-12,Corporate,US
128,Annie Thurman,0.5995,Média Propensão (Foco em Nutrição),9,2,34,13385.0,393.68,2014-12-29,Consumer,US
129,Rick Reed,0.596,Média Propensão (Foco em Nutrição),9,0,34,16382.0,481.82,2014-12-31,Corporate,LATAM
130,Roger Barcio,0.5956,Média Propensão (Foco em Nutrição),9,16,28,15304.0,546.57,2014-12-15,Home Office,APAC
131,Joni Blumstein,0.5953,Média Propensão (Foco em Nutrição),9,9,27,13339.0,494.04,2014-12-22,Consumer,APAC
132,Aleksandra Gannaway,0.5947,Média Propensão (Foco em Nutrição),9,2,30,14715.0,490.5,2014-12-29,Corporate,EU
133,Pete Armstrong,0.5939,Média Propensão (Foco em Nutrição),9,23,27,10395.0,385.0,2014-12-08,Home Office,LATAM
134,Cynthia Voltz,0.593,Média Propensão (Foco em Nutrição),9,4,27,14857.0,550.26,2014-12-27,Corporate,US
135,Sample Company A,0.5926,Média Propensão (Foco em Nutrição),9,40,37,19129.0,517.0,2014-11-21,Home Office,LATAM
136,Matthew Grinstein,0.5922,Média Propensão (Foco em Nutrição),9,19,22,13017.0,591.68,2014-12-12,Home Office,APAC
137,Keith Herrera,0.5915,Média Propensão (Foco em Nutrição),9,15,33,16890.0,511.82,2014-12-16,Consumer,US
138,Hallie Redmond,0.5902,Média Propensão (Foco em Nutrição),9,13,26,15680.0,603.08,2014-12-18,Home Office,US
139,Bill Stewart,0.5898,Média Propensão (Foco em Nutrição),9,28,28,18776.0,670.57,2014-12-03,Corporate,LATAM
140,Tracy Hopkins,0.5895,Média Propensão (Foco em Nutrição),9,5,31,13095.0,422.42,2014-12-26,Home Office,LATAM
141,Andy Yotov,0.5893,Média Propensão (Foco em Nutrição),9,14,27,8542.0,316.37,2014-12-17,Corporate,EMEA
142,Mike Gockenbach,0.5891,Média Propensão (Foco em Nutrição),9,2,27,23378.0,865.85,2014-12-29,Consumer,LATAM
143,Anthony Garverick,0.5879,Média Propensão (Foco em Nutrição),9,28,35,11687.0,333.91,2014-12-03,Home Office,LATAM
144,Chad McGuire,0.5876,Média Propensão (Foco em Nutrição),9,8,23,16566.0,720.26,2014-12-23,Consumer,APAC
145,Kelly Lampkin,0.5875,Média Propensão (Foco em Nutrição),9,15,33,14248.0,431.76,2014-12-16,Corporate,US
146,Ken Heidel,0.5865,Média Propensão (Foco em Nutrição),9,8,32,9021.0,281.91,2014-12-23,Corporate,US
147,Clay Rozendal,0.5855,Média Propensão (Foco em Nutrição),9,22,25,11759.0,470.36,2014-12-09,Home Office,APAC
148,Andy Reiter,0.5848,Média Propensão (Foco em Nutrição),9,6,23,8545.0,371.52,2014-12-25,Consumer,US
149,Cindy Schnelling,0.5842,Média Propensão (Foco em Nutrição),9,2,33,12775.0,387.12,2014-12-29,Corporate,LATAM
150,Dean Katz,0.5835,Média Propensão (Foco em Nutrição),9,1,37,10652.0,287.89,2014-12-30,Corporate,US
151,Rick Bensley,0.5834,Média Propensão (Foco em Nutrição),9,0,39,20854.0,534.72,2014-12-31,Home Office,US
152,Claire Gute,0.5818,Média Propensão (Foco em Nutrição),9,28,25,14662.0,586.48,2014-12-03,Consumer,EU
153,Annie Zypern,0.5817,Média Propensão (Foco em Nutrição),9,26,28,11871.0,423.96,2014-12-05,Consumer,LATAM
154,Gary Mitchum,0.5817,Média Propensão (Foco em Nutrição),9,16,21,11011.0,524.33,2014-12-15,Home Office,APAC
155,Tanja Norvell,0.5817,Média Propensão (Foco em Nutrição),9,22,31,9595.0,309.52,2014-12-09,Home Office,LATAM
156,Neola Schneider,0.5811,Média Propensão (Foco em Nutrição),9,6,30,15801.0,526.7,2014-12-25,Consumer,LATAM
157,Jonathan Doherty,0.5809,Média Propensão (Foco em Nutrição),9,2,38,19481.0,512.66,2014-12-29,Corporate,US
158,Claudia Bergmann,0.5809,Média Propensão (Foco em Nutrição),9,7,29,18261.0,629.69,2014-12-24,Corporate,EU
159,Patrick Bzostek,0.5799,Média Propensão (Foco em Nutrição),9,8,28,14858.0,530.64,2014-12-23,Home Office,APAC
160,Alex Avila,0.5798,Média Propensão (Foco em Nutrição),8,2,26,15993.0,615.12,2014-12-29,Consumer,EU
161,Matt Abelman,0.5792,Média Propensão (Foco em Nutrição),8,64,28,12447.0,444.54,2014-10-28,Home Office,US
162,Nicole Fjeld,0.5779,Média Propensão (Foco em Nutrição),8,11,27,12268.0,454.37,2014-12-20,Home Office,LATAM
163,Tracy Collins,0.5774,Média Propensão (Foco em Nutrição),8,0,34,11099.0,326.44,2014-12-31,Home Office,LATAM
164,Nancy Lomonaco,0.5773,Média Propensão (Foco em Nutrição),8,25,27,10840.0,401.48,2014-12-06,Home Office,APAC
165,George Bell,0.5768,Média Propensão (Foco em Nutrição),8,33,30,12183.0,406.1,2014-11-28,Corporate,US
166,Anna Gayman,0.5767,Média Propensão (Foco em Nutrição),8,47,31,15392.0,496.52,2014-11-14,Consumer,Africa
167,Mary O'Rourke,0.5759,Média Propensão (Foco em Nutrição),8,36,29,11126.0,383.66,2014-11-25,Consumer,LATAM
168,Barry Französisch,0.5755,Média Propensão (Foco em Nutrição),8,15,31,13206.0,426.0,2014-12-16,Corporate,US
169,Richard Bierner,0.5752,Média Propensão (Foco em Nutrição),8,19,34,14797.0,435.21,2014-12-12,Consumer,LATAM
170,Sandra Glassco,0.574,Média Propensão (Foco em Nutrição),8,3,23,11853.0,515.35,2014-12-28,Consumer,APAC
171,Dorothy Wardle,0.5736,Média Propensão (Foco em Nutrição),8,5,41,12606.0,307.46,2014-12-26,Corporate,LATAM
172,Alex Grayson,0.5734,Média Propensão (Foco em Nutrição),8,2,36,15071.0,418.64,2014-12-29,Consumer,LATAM
173,Jennifer Jackson,0.5733,Média Propensão (Foco em Nutrição),8,19,25,12191.0,487.64,2014-12-12,Consumer,APAC
174,Jeremy Farry,0.5729,Média Propensão (Foco em Nutrição),8,4,37,10722.0,289.78,2014-12-27,Consumer,US
175,Shirley Jackson,0.5724,Média Propensão (Foco em Nutrição),8,175,29,13385.0,461.55,2014-07-09,Consumer,EU
176,Bruce Geld,0.5722,Média Propensão (Foco em Nutrição),8,6,28,15381.0,549.32,2014-12-25,Consumer,LATAM
177,Allen Rosenblatt,0.5718,Média Propensão (Foco em Nutrição),8,54,28,9529.0,340.32,2014-11-07,Corporate,EU
178,Kimberly Carter,0.5709,Média Propensão (Foco em Nutrição),8,2,26,13923.0,535.5,2014-12-29,Corporate,EU
179,Ritsa Hightower,0.5702,Média Propensão (Foco em Nutrição),8,7,29,17695.0,610.17,2014-12-24,Consumer,EMEA
180,Eugene Barchas,0.5697,Média Propensão (Foco em Nutrição),8,20,34,16085.0,473.09,2014-12-11,Consumer,EU
181,Neil Ducich,0.5693,Média Propensão (Foco em Nutrição),8,5,32,14780.0,461.88,2014-12-26,Corporate,LATAM
182,Marina Lichtenstein,0.5689,Média Propensão (Foco em Nutrição),8,0,32,15555.0,486.09,2014-12-31,Corporate,US
183,Lela Donovan,0.5678,Média Propensão (Foco em Nutrição),8,42,38,16181.0,425.82,2014-11-19,Corporate,LATAM
184,Marc Harrigan,0.5676,Média Propensão (Foco em Nutrição),8,37,28,15401.0,550.04,2014-11-24,Home Office,LATAM
185,Erin Mull,0.5675,Média Propensão (Foco em Nutrição),8,16,26,15321.0,589.27,2014-12-15,Consumer,APAC
186,Frank Atkinson,0.5668,Média Propensão (Foco em Nutrição),8,22,35,14350.0,410.0,2014-12-09,Corporate,EU
187,Ken Brennan,0.5667,Média Propensão (Foco em Nutrição),8,1,36,11465.0,318.47,2014-12-30,Corporate,APAC
188,Yoseph Carroll,0.5657,Média Propensão (Foco em Nutrição),8,4,31,20165.0,650.48,2014-12-27,Corporate,EU
189,Dorris liebe,0.5651,Média Propensão (Foco em Nutrição),8,5,30,14720.0,490.67,2014-12-26,Corporate,APAC
190,Zuschuss Donatelli,0.5644,Média Propensão (Foco em Nutrição),8,1,29,12434.0,428.76,2014-12-30,Consumer,EU
191,Mathew Reese,0.5633,Média Propensão (Foco em Nutrição),8,97,29,21575.0,743.97,2014-09-25,Home Office,EU
192,Matthew Clasen,0.563,Média Propensão (Foco em Nutrição),8,5,38,21805.0,573.82,2014-12-26,Corporate,LATAM
193,Pierre Wener,0.5627,Média Propensão (Foco em Nutrição),8,1,31,8422.0,271.68,2014-12-30,Consumer,LATAM
194,Sung Chung,0.5621,Média Propensão (Foco em Nutrição),8,8,28,11265.0,402.32,2014-12-23,Consumer,LATAM
195,Darren Powers,0.5619,Média Propensão (Foco em Nutrição),8,14,41,15980.0,389.76,2014-12-17,Consumer,EU
196,Cathy Hwang,0.5618,Média Propensão (Foco em Nutrição),8,89,29,15667.0,540.24,2014-10-03,Home Office,EU
197,Ken Dana,0.5607,Média Propensão (Foco em Nutrição),8,75,27,12553.0,464.93,2014-10-17,Corporate,LATAM
198,Ivan Liston,0.5607,Média Propensão (Foco em Nutrição),8,116,32,12853.0,401.66,2014-09-06,Consumer,LATAM
199,Tom Stivers,0.5595,Média Propensão (Foco em Nutrição),8,19,29,15345.0,529.14,2014-12-12,Corporate,APAC
200,Susan Vittorini,0.559,Média Propensão (Foco em Nutrição),8,0,31,15689.0,506.1,2014-12-31,Consumer,APAC
201,Astrea Jones,0.5587,Média Propensão (Foco em Nutrição),8,48,27,13259.0,491.07,2014-11-13,Consumer,EU
202,Anne Pryor,0.5584,Média Propensão (Foco em Nutrição),8,37,26,16360.0,629.23,2014-11-24,Home Office,APAC
203,Ben Peterman,0.5573,Média Propensão (Foco em Nutrição),8,1,38,16809.0,442.34,2014-12-30,Corporate,US
204,Quincy Jones,0.557,Média Propensão (Foco em Nutrição),8,25,28,18585.0,663.75,2014-12-06,Corporate,LATAM
205,Edward Hooks,0.5568,Média Propensão (Foco em Nutrição),8,2,38,21272.0,559.79,2014-12-29,Corporate,US
206,Alyssa Tate,0.5566,Média Propensão (Foco em Nutrição),8,12,36,14945.0,415.14,2014-12-19,Home Office,EMEA
207,Maris LaWare,0.5559,Média Propensão (Foco em Nutrição),8,33,33,15175.0,459.85,2014-11-28,Consumer,APAC
208,Brad Thomas,0.5557,Média Propensão (Foco em Nutrição),8,30,38,11683.0,307.45,2014-12-01,Home Office,APAC
209,Don Jones,0.5556,Média Propensão (Foco em Nutrição),8,6,38,21395.0,563.03,2014-12-25,Corporate,LATAM
210,Maribeth Yedwab,0.5555,Média Propensão (Foco em Nutrição),8,29,32,16472.0,514.75,2014-12-02,Corporate,APAC
211,Carl Jackson,0.5547,Média Propensão (Foco em Nutrição),8,13,29,13972.0,481.79,2014-12-18,Corporate,APAC
212,Harold Ryan,0.5543,Média Propensão (Foco em Nutrição),8,51,24,10034.0,418.08,2014-11-10,Corporate,US
213,Adam Hart,0.5537,Média Propensão (Foco em Nutrição),8,2,42,21720.0,517.14,2014-12-29,Corporate,EU
214,Michael Grace,0.5532,Média Propensão (Foco em Nutrição),8,5,34,14532.0,427.41,2014-12-26,Home Office,LATAM
215,Ruben Ausman,0.5532,Média Propensão (Foco em Nutrição),8,43,31,15939.0,514.16,2014-11-18,Corporate,LATAM
216,Jeremy Ellison,0.5527,Média Propensão (Foco em Nutrição),8,27,30,6818.0,227.27,2014-12-04,Consumer,US
217,Tim Taslimi,0.5526,Média Propensão (Foco em Nutrição),8,1,29,9780.0,337.24,2014-12-30,Corporate,LATAM
218,Thomas Brumley,0.5522,Média Propensão (Foco em Nutrição),8,49,21,11805.0,562.14,2014-11-12,Home Office,APAC
219,Chad Sievert,0.5521,Média Propensão (Foco em Nutrição),8,11,26,12348.0,474.92,2014-12-20,Consumer,APAC
